bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,grade,sqft_above,sqft_basement,price
3,1,1180,5650,1,0,3,7,1180,0,221900
3,2,2570,7242,2,0,3,7,2170,400,538000
2,1,770,10000,1,0,3,6,770,0,180000
4,3,1960,5000,1,0,5,7,1050,910,604000
3,2,1680,8080,1,0,3,8,1680,0,510000
4,5,5420,101930,1,0,3,11,3890,1530,1225000
3,2,1715,6819,2,0,3,7,1715,0,257500
3,2,1060,9711,1,0,3,7,1060,0,291850
3,1,1780,7470,1,0,3,7,1050,730,229500
3,3,1890,6560,2,0,3,7,1890,0,323000
3,3,3560,9796,1,0,3,8,1860,1700,662500
2,1,1160,6000,1,0,4,7,860,300,468000
3,1,1430,19901,1.5,0,4,7,1430,0,310000
3,2,1370,9680,1,0,4,7,1370,0,400000
5,2,1810,4850,1.5,0,3,7,1810,0,530000
4,3,2950,5000,2,0,3,9,1980,970,650000
3,2,1890,14040,2,0,3,7,1890,0,395000
4,1,1600,4300,1.5,0,4,7,1600,0,485000
2,1,1200,9850,1,0,4,7,1200,0,189000
3,1,1250,9774,1,0,4,7,1250,0,230000
4,2,1620,4980,1,0,4,7,860,760,385000
3,3,3050,44867,1,0,3,9,2330,720,2000000
5,3,2270,6300,2,0,3,8,2270,0,285000
2,2,1070,9643,1,0,3,7,1070,0,252700
3,2,2450,6500,2,0,4,8,2450,0,329000
3,2,1710,4697,1.5,0,5,6,1710,0,233000
3,2,2450,2691,2,0,3,8,1750,700,937000
3,1,1400,1581,1.5,0,5,8,1400,0,667000
3,2,1520,6380,1,0,3,7,790,730,438000
4,3,2570,7173,2,0,3,8,2570,0,719000
3,3,2320,3980,2,0,3,8,2320,0,580500
2,2,1190,1265,3,0,3,7,1190,0,280000
4,2,2330,5000,1.5,0,4,7,1510,820,687500
3,1,1090,3000,1.5,0,4,8,1090,0,535000
4,3,2060,6659,1,0,3,7,1280,780,322500
3,3,2300,3060,1.5,0,3,8,1510,790,696000
4,1,1660,34848,1,0,1,5,930,730,550000
4,2,2360,6000,2,0,4,8,2360,0,640000
4,1,1220,8075,1,0,2,7,890,330,240000
4,3,2620,7553,2,0,3,8,2620,0,605000
4,3,2570,5520,2,0,3,9,2570,0,625000
4,2,4220,24186,1,0,3,8,2600,1620,775000
5,3,3595,5639,2,0,3,9,3595,0,861990
3,1,1570,2280,2,0,3,7,1570,0,685000
3,1,1280,9656,1,0,4,6,920,360,309000
3,3,3160,13603,2,0,3,8,3160,0,488000
3,1,990,8528,1,0,3,6,990,0,210490
4,3,2290,13416,2,0,4,9,2290,0,785000
3,2,1250,5963,1,0,4,7,1250,0,450000
3,3,2753,65005,1,1,5,9,2165,588,1350000
3,1,1190,9199,1,0,3,7,1190,0,228000
5,3,3150,9134,1,0,4,8,1640,1510,345000
3,2,1410,4080,1,0,4,7,1000,410,600000
2,2,1980,8550,1,0,3,7,990,990,585000
5,2,2730,6000,1.5,0,3,8,2130,600,920000
4,3,2830,5000,2,0,3,9,2830,0,885000
4,3,2250,4495,2,0,3,7,2250,0,292500
3,3,2420,4750,2,0,3,8,2420,0,301000
5,3,3250,14342,2,0,4,8,3250,0,951000
4,3,1850,9976,2,0,3,8,1850,0,430000
3,2,2150,21235,1,0,4,8,1590,560,650000
3,2,1260,8400,1,0,3,7,1260,0,289000
3,2,2519,8690,2,0,5,8,2519,0,505000
3,2,1540,1044,3,0,3,8,1540,0,549000
3,2,1660,6000,1,0,3,7,1110,550,425000
3,3,2770,3809,1.5,0,5,7,1770,1000,317625
4,3,2720,11049,2,0,3,10,2720,0,975000
4,3,2240,4648,2,0,3,7,2240,0,287000
3,1,1000,12070,1,0,4,7,1000,0,204000
5,2,3200,20158,1,0,3,8,1600,1600,1325000
5,3,4770,50094,1,0,4,11,3070,1700,1040000
3,2,1260,5612,1,0,4,7,1260,0,325000
4,2,2750,7807,1.5,0,5,7,2250,500,571000
4,3,2380,5000,2,0,3,8,2380,0,360000
3,2,1790,50529,1,0,5,7,1090,700,349000
4,4,3430,35102,2,0,4,10,2390,1040,832500
4,2,1760,7300,1,0,3,7,880,880,380000
3,1,1040,5060,1,0,3,7,1040,0,480000
3,1,1410,5060,1,0,4,7,910,500,410000
4,3,3450,39683,2,0,3,10,3450,0,720000
3,3,2350,5100,2,0,3,8,2350,0,390000
4,3,1900,5889,2,0,3,7,1900,0,360000
2,1,2020,6720,1,0,3,7,1010,1010,355000
3,2,1680,8712,1,0,3,8,1680,0,356000
3,1,960,6634,1,0,3,6,960,0,315000
3,2,2140,3600,2,0,3,9,1900,240,940000
5,2,2660,8400,1.5,0,5,7,2660,0,305000
3,3,2770,6278,2,0,3,9,1980,790,461000
2,2,1610,2040,2,0,4,7,1610,0,215000
2,2,1030,1066,2,0,3,7,765,265,335000
4,3,1980,7403,2,0,3,7,1980,0,243500
5,3,3520,6353,2,0,4,10,3520,0,1099880
3,1,1200,10500,1,0,3,7,1200,0,153000
3,2,1580,5000,1,0,3,8,1290,290,430000
3,2,1580,5000,1,0,3,8,1290,290,700000
4,3,3300,10250,1,0,3,7,2390,910,905000
3,2,1960,15681,1,0,3,7,1960,0,247500
4,2,1160,6400,1,0,4,7,1160,0,199000
3,2,1810,41800,1,0,5,7,1210,600,314000
3,3,2320,36847,2,0,3,9,2320,0,437500
3,3,2070,13241,1.5,0,5,9,1270,800,850830
3,2,1980,3478,1.5,0,4,7,1440,540,555000
3,2,2190,107593,2,0,4,8,2190,0,699950
3,3,2920,8113,2,0,3,8,2920,0,1088000
3,1,1210,33919,1,0,3,7,1210,0,290000
3,3,2340,10005,1,0,4,8,1460,880,375000
3,1,1670,4005,1.5,0,4,7,1170,500,460000
2,2,1240,2493,1,0,4,8,1240,0,188500
4,3,3140,28037,2,0,4,10,3140,0,680000
5,2,2030,12342,2,0,4,7,2030,0,470000
4,3,2310,9624,2,0,3,8,2310,0,597750
3,2,1260,3328,1,0,5,6,700,560,570000
3,2,1540,12600,1,0,4,7,1160,380,272500
3,2,2080,5969,1,0,3,7,1080,1000,329950
4,3,3230,16171,2,0,3,9,2520,710,480000
3,4,4380,6350,2,0,3,8,2780,1600,740500
3,4,1590,1102,3,0,3,8,1590,0,518500
2,1,880,6780,1,0,4,6,880,0,205425
4,2,1570,9600,1,0,3,6,1570,0,171800
4,1,1610,2982,1.5,0,4,7,1610,0,535000
3,3,2400,6474,1,0,3,8,1560,840,660000
3,2,1450,9132,1,0,3,7,1450,0,391500
2,1,770,6000,1,0,3,6,770,0,395000
4,2,2100,4400,1.5,0,5,7,1720,380,445000
3,2,2910,10204,2,0,3,9,2910,0,770000
4,3,2750,17789,1.5,0,3,8,1980,770,1450000
3,2,2100,8201,1,0,3,8,1620,480,445000
4,2,2160,8811,1,0,3,8,1360,800,260000
5,4,2320,4960,2,0,5,7,1720,600,822500
4,3,2070,4310,2,0,3,7,2070,0,430000
3,2,1060,7875,1,0,4,7,1060,0,212000
4,2,2010,9603,1,0,3,8,1440,570,660500
3,4,3950,111078,1.5,0,3,9,2460,1490,784000
3,3,2010,2287,2,0,3,8,1390,620,453246
4,4,2140,2278,3,0,3,9,2140,0,675000
3,2,1320,17390,1,0,4,7,1320,0,199000
4,2,2020,7840,1,0,3,7,1010,1010,220000
4,2,2590,10002,1,0,4,8,1340,1250,452000
2,1,1190,4440,1,0,3,6,1190,0,382500
3,2,1170,1249,3,0,3,8,1170,0,519950
2,1,1110,3200,1,0,3,7,1110,0,665000
5,3,2820,9375,1,0,4,8,1550,1270,527700
3,1,1610,8579,1,0,4,7,1010,600,205000
3,1,1060,8097,1,0,4,7,940,120,420000
4,2,2030,8517,1,0,4,8,1380,650,500000
4,3,3670,315374,2,0,4,9,3670,0,921500
4,1,2550,4000,2,0,3,8,2370,180,890000
2,3,2420,60984,2,0,3,7,2420,0,430000
5,2,2260,12500,1,0,4,8,1130,1130,258000
3,1,1430,3455,1,0,3,7,980,450,511000
3,2,1360,3090,2,0,3,8,1360,0,532170
3,1,1110,5000,1.5,0,3,7,1110,0,560000
3,1,1250,8200,1,0,4,7,1250,0,282950
4,3,5180,19850,2,0,3,12,3540,1640,2250000
1,1,700,5100,1,0,3,7,700,0,350000
3,1,1180,7669,1,0,4,7,1180,0,215000
5,4,3960,25245,2,0,3,9,2500,1460,650000
4,3,2640,7500,1,0,3,8,1620,1020,320000
3,2,1270,7198,1.5,0,3,7,1270,0,247000
4,2,1760,11180,1,0,4,8,1760,0,320000
5,2,2060,8632,1,0,3,7,1030,1030,255000
3,2,1780,9660,1,0,3,7,1780,0,438000
3,3,3400,16603,2,0,3,10,3400,0,900000
3,3,1910,7280,1,0,3,7,1160,750,441000
3,2,2020,38332,1,0,4,7,1010,1010,420000
3,2,1580,7000,1,0,3,7,1180,400,370000
2,2,1340,7250,1,0,5,5,700,640,269950
4,3,2680,4499,2,0,3,9,2680,0,807100
3,3,2680,9750,1,0,4,8,1610,1070,653000
3,2,1370,8336,1,0,5,7,1370,0,371500
3,2,1560,21000,1,0,3,7,1560,0,284000
3,2,2160,7140,1,0,4,7,1670,490,272000
3,2,1340,7912,1.5,0,3,7,1340,0,313000
4,3,3880,35003,2,0,3,10,2570,1310,917500
4,2,2590,8190,2,0,4,8,2590,0,673000
3,3,1120,1100,2,0,3,8,820,300,425000
5,3,1970,5400,1,0,3,7,1320,650,399950
3,1,1220,4800,1,0,3,6,1220,0,385000
3,2,1950,7560,1,0,4,7,1320,630,269950
2,1,1350,8220,1,0,3,7,1060,290,330000
3,3,1670,5797,2,0,3,7,1670,0,260000
4,3,2380,5125,1.5,0,4,7,1680,700,470000
4,3,2440,9600,2,0,5,7,2440,0,589000
2,2,1050,3419,2,0,3,7,1050,0,163500
4,3,3130,13412,2,0,3,9,2140,990,835000
5,3,4090,12850,1,0,4,10,2090,2000,1095000
4,2,1490,10000,1,0,4,8,1100,390,269000
3,3,1900,8744,2,0,3,8,1900,0,560000
4,1,1330,2400,1.5,0,4,6,1330,0,615000
3,2,2230,10026,1,0,3,8,1430,800,585188
