date,close,volume,open,high,low
3/6/2017,139.34,21229890,139.365,139.77,138.5959
3/7/2017,139.52,17439210,139.06,139.98,138.79
3/8/2017,139,18695500,138.95,139.8,138.82
3/9/2017,138.68,22117750,138.74,138.79,137.05
3/10/2017,139.14,19578920,139.25,139.3571,138.64
3/13/2017,139.2,17048800,138.85,139.43,138.82
3/14/2017,138.99,15281850,139.3,139.65,138.84
3/15/2017,140.46,25676720,139.41,140.7501,139.025
3/16/2017,140.69,19173780,140.72,141.02,140.26
3/17/2017,139.99,43700570,141,141,139.89
3/20/2017,141.46,21258100,140.4,141.5,140.23
3/21/2017,139.84,39461130,142.11,142.8,139.73
3/22/2017,141.42,25804820,139.845,141.6,139.76
3/23/2017,140.92,20299310,141.26,141.5844,140.61
3/24/2017,140.64,22355140,141.5,141.74,140.35
3/27/2017,140.88,23531670,139.39,141.22,138.62
3/28/2017,143.8,33348400,140.91,144.04,140.62
3/29/2017,144.12,29174040,143.68,144.49,143.19
3/30/2017,143.93,21189000,144.19,144.5,143.5
3/31/2017,143.66,19576480,143.72,144.27,143.01
4/3/2017,143.7,19970040,143.71,144.12,143.05
4/4/2017,144.77,19865300,143.25,144.89,143.17
4/5/2017,144.02,27649500,144.22,145.46,143.81
4/6/2017,143.66,21131040,144.29,144.52,143.45
4/7/2017,143.34,16658660,143.73,144.18,143.27
4/10/2017,143.17,18904680,143.6,143.8792,142.9
4/11/2017,141.63,30341520,142.94,143.35,140.06
4/12/2017,141.8,20320420,141.6,142.15,141.01
4/13/2017,141.05,17775510,141.91,142.38,141.05
4/17/2017,141.83,16529130,141.48,141.88,140.87
4/18/2017,141.2,14676420,141.41,142.04,141.11
4/19/2017,140.68,17302160,141.88,142,140.45
4/20/2017,142.44,23294040,141.22,142.92,141.16
4/21/2017,142.27,17290900,142.44,142.68,141.85
4/24/2017,143.64,17117710,143.5,143.95,143.18
4/25/2017,144.53,18325720,143.91,144.9,143.87
4/26/2017,143.68,19998050,144.47,144.6,143.3762
4/27/2017,143.79,14198660,143.923,144.16,143.31
4/28/2017,143.65,20783460,144.09,144.3,143.27
5/1/2017,146.58,33498270,145.1,147.2,144.96
5/2/2017,147.51,44182930,147.54,148.09,146.84
5/3/2017,147.06,45579740,145.59,147.49,144.27
5/4/2017,146.53,23345970,146.52,147.14,145.81
5/5/2017,148.96,27254850,146.76,148.98,146.76
5/8/2017,153.01,48670440,149.03,153.7,149.03
5/9/2017,153.99,38907940,153.87,154.88,153.45
5/10/2017,153.26,25779060,153.63,153.94,152.11
5/11/2017,153.95,27236290,152.45,154.07,152.31
5/12/2017,156.1,32493770,154.7,156.42,154.67
5/15/2017,155.7,25912270,156.01,156.65,155.05
5/16/2017,155.47,19994270,155.94,156.06,154.72
5/17/2017,150.25,50674280,153.6,154.57,149.71
5/18/2017,152.54,33520150,151.27,153.34,151.13
5/19/2017,153.06,26892850,153.38,153.98,152.63
5/22/2017,153.99,22930630,154,154.58,152.91
5/23/2017,153.8,19906170,154.9,154.9,153.31
5/24/2017,153.34,19201820,153.84,154.17,152.67
5/25/2017,153.87,19217810,153.73,154.35,153.03
5/26/2017,153.61,21895020,154,154.24,153.31
5/30/2017,153.67,20118620,153.42,154.43,153.33
5/31/2017,152.76,24452750,153.97,154.17,152.38
6/1/2017,153.18,16383610,153.17,153.33,152.22
6/2/2017,155.45,27715140,153.58,155.45,152.89
6/5/2017,153.93,25277680,154.34,154.45,153.46
6/6/2017,154.45,26591850,153.9,155.81,153.78
6/7/2017,155.37,21017560,155.02,155.98,154.48
6/8/2017,154.99,21144040,155.25,155.54,154.4
6/9/2017,148.98,64782910,155.19,155.19,146.02
6/12/2017,145.42,72187710,145.74,146.09,142.51
6/13/2017,146.59,34089190,147.16,147.45,145.15
6/14/2017,145.16,31454590,147.5,147.5,143.84
6/15/2017,144.29,31642900,143.32,144.4798,142.21
6/16/2017,142.27,50264540,143.78,144.5,142.2
6/19/2017,146.34,32203640,143.66,146.74,143.66
6/20/2017,145.01,24877950,146.87,146.87,144.94
6/21/2017,145.87,21247590,145.52,146.0693,144.61
6/22/2017,145.63,19082170,145.77,146.7,145.1199
6/23/2017,146.28,35421310,145.13,147.16,145.11
6/26/2017,145.82,25674500,147.17,148.28,145.38
6/27/2017,143.73,24725210,145.01,146.16,143.62
6/28/2017,145.83,22052920,144.49,146.11,143.1601
6/29/2017,143.68,31450520,144.71,145.13,142.28
6/30/2017,144.02,22986960,144.45,144.96,143.78
7/3/2017,143.5,14277850,144.88,145.3001,143.1
7/5/2017,144.09,21550270,143.69,144.79,142.7237
7/6/2017,142.73,24110330,143.02,143.5,142.41
7/7/2017,144.18,18527000,142.9,144.75,142.9
7/10/2017,145.06,21080580,144.11,145.95,143.37
7/11/2017,145.53,18647220,144.73,145.85,144.38
7/12/2017,145.74,24833800,145.87,146.18,144.82
